year,lei,loan_type,loan_purpose,preapproval,construction_method,occupancy_type,loan_amount,action_taken,state_code,county_code,census_tract,applicant_ethnicity_1,applicant_ethnicity_2,applicant_ethnicity_3,co_applicant_ethnicity_1,co_applicant_ethnicity_2,co_applicant_ethnicity_3,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,applicant_age_above_62,co_applicant_age,co_applicant_age_above_62,income,purchaser_type,rate_spread,hoepa_status,lien_status,applicant_credit_scoring_model,co_applicant_credit_scoring_model,denial_reason_1,denial_reason_2,denial_reason_3,total_loan_costs,total_points_and_fees,origination_charges,lender_credits,interest_rate,debt_to_income_ratio,combined_loan_to_value_ratio,loan_term,intro_rate_period,balloon_payment,interest_only_payment,negative_amortization,other_non_amortizing_features,property_value,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,submission_of_application,initially_payable_to_institution,aus_1,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose
2023,5493001ZUNE2DKEA4702,1,1,2,1,1,195000,3,FL,1237,12137154745,2,12,12,5,12,12,2,4,2,5,26,42,8,17,23,42,2,4,2,5,2,4,45-54,No,9999,No,22,0,0.6538118081180812,3,1,3,10,1,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,95,360,66,2,2,2,2,205000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,1,2,1,1,365000,1,FL,12117,12117021320,3,12,12,3,12,12,2,2,6,16,24,42,6,17,23,42,2,2,3,3,2,2,35-44,No,35-44,No,205,0,-2.911,2,1,9,2,10,2,4,6224.24,884.7839158576052,2220,884.4192,6.375,30%-<36%,75,360,60,2,2,2,2,485000,3,5,1,1,1,2,2,2,2
2023,5493001ZUNE2DKEA4702,1,1,2,1,1,285000,4,FL,12127,12127090803,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,2,1,2,2,25-34,No,25-34,No,86,0,0.6538118081180812,3,1,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,360,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,1,2,1,1,335000,1,FL,12069,12069030203,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,2,2,2,2,35-44,No,25-34,No,113,0,0.529,2,1,1,9,10,2,4,5245.4,884.7839158576052,1280,884.4192,6.875,38,100,360,66,2,2,2,2,335000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,45000,1,FL,12095,12095014100,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,2,1,2,2,45-54,No,55-64,Yes,89,0,-0.124,2,2,2,9,10,2,4,2013.143201970443,642.4,442.7375609756098,884.4192,7,40,45.539,180,66,2,2,2,2,495000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,1,2,1,1,195000,4,FL,12083,12083000805,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,1,5,2,4,45-54,No,9999,No,148,0,0.6538118081180812,3,1,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,360,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,105000,1,FL,12097,12097042800,1,14,12,1,12,12,2,2,5,16,24,42,5,17,23,42,2,2,1,1,2,2,55-64,No,25-34,No,105,0,0.347,2,2,2,9,10,2,4,2013.143201970443,649.45,442.7375609756098,884.4192,7.5,45,60.889,180,66,2,2,2,2,495000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,195000,1,FL,12095,12095012600,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,1,2,2,2,55-64,No,55-64,No,210,0,-0.119,2,1,1,9,10,2,4,4623.95,884.7839158576052,1280,884.4192,6.25,41,52.8,360,66,2,2,2,2,375000,3,5,1,1,1,2,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,35000,1,FL,12127,12127091037,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,1,5,2,4,55-64,No,9999,No,122,0,0.882,2,2,2,10,10,2,4,634.95,884.7839158576052,0,888.95,6.375,30%-<36%,76.949,120,66,2,2,2,2,425000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,75000,1,FL,12095,12095017118,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,1,2,2,2,55-64,No,45-54,No,168,0,0.193,2,2,2,9,10,2,4,632.9,884.7839158576052,0,1000,5.875,20%-<30%,61.236,120,66,2,2,2,2,415000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,35000,5,FL,12097,12097041302,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,1,5,2,4,>74,Yes,9999,No,21,0,0.6538118081180812,3,1,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,180,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,1,2,1,1,415000,1,FL,12117,12117021708,2,12,12,2,12,12,2,2,3,16,24,42,3,17,23,42,2,2,2,2,2,2,25-34,No,25-34,No,132,0,0.662,2,1,1,9,10,2,4,5644.4,884.7839158576052,1280,4,6.75,36,95,360,66,2,2,2,2,435000,3,5,1,1,1,2,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,75000,2,FL,12095,12095017811,1,14,12,1,11,12,2,2,6,16,24,42,6,17,23,42,2,2,1,2,2,2,35-44,No,35-44,No,147,0,1.436,3,2,2,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,8.5,30%-<36%,61.27,180,66,2,2,2,2,585000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,155000,5,FL,12069,12069031323,2,12,12,2,12,12,1,1,5,16,24,42,5,17,23,42,1,1,1,2,1,1,45-54,No,35-44,No,82,0,0.6538118081180812,3,1,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,360,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,25000,5,FL,12097,12097043208,1,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,2,5,2,4,25-34,No,9999,No,50,0,0.6538118081180812,3,2,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,180,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,155000,1,FL,12097,12097042800,1,12,12,1,12,12,1,1,5,16,24,42,5,17,23,42,1,1,1,2,1,1,65-74,Yes,45-54,No,81,0,0.436,2,1,9,2,10,2,4,2013.143201970443,1643.6,442.7375609756098,884.4192,7.5,39,22.422,180,66,2,2,2,2,665000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,205000,2,FL,12117,12117021606,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,1,2,2,2,45-54,No,45-54,No,161,0,0.262,3,2,9,2,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.5,36,48.831,180,66,2,2,2,2,495000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,75000,5,FL,12095,12095015106,2,12,12,5,12,12,2,4,3,16,24,42,8,17,23,42,2,4,2,5,2,4,45-54,No,9999,No,160,0,0.6538118081180812,3,1,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,180,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,295000,1,FL,12097,12097041101,1,12,12,2,12,12,2,2,6,16,24,42,3,17,23,42,2,2,2,1,2,2,25-34,No,25-34,No,141,0,0.277,2,1,9,2,10,2,4,2013.143201970443,3045.1,442.7375609756098,884.4192,7.5,30%-<36%,80,180,66,2,2,2,2,375000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,35000,1,FL,12057,12057013414,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,2,5,2,4,55-64,Yes,9999,No,57,0,0.51,2,1,2,10,10,2,4,2013.143201970443,475.45,442.7375609756098,884.4192,7.5,20%-<30%,5.367,180,66,2,2,2,2,555000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,305000,1,FL,12117,12117020703,2,12,12,2,12,12,1,1,5,16,24,42,5,17,23,42,1,1,1,2,1,1,>74,Yes,>74,Yes,173,0,0.272,2,1,9,2,10,2,4,2013.143201970443,2395.9,442.7375609756098,884.4192,7.5,45,22.222,180,66,2,2,2,2,1355000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,45000,1,FL,12117,12117021313,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,1,2,2,2,65-74,Yes,55-64,Yes,98,0,-0.128,2,2,2,9,10,2,4,2013.143201970443,632.9,442.7375609756098,884.4192,7,45,39.325,180,66,2,2,2,2,535000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,65000,1,FL,12127,12127090905,2,12,12,5,12,12,2,4,3,16,24,42,8,17,23,42,2,4,1,5,2,4,45-54,No,9999,No,121,0,1.324,2,2,2,10,10,2,4,2013.143201970443,1110.45,442.7375609756098,884.4192,8.5,30%-<36%,39.324,180,66,2,2,2,2,495000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,155000,5,FL,12095,12095014100,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,1,5,2,4,55-64,No,9999,No,62,0,0.6538118081180812,3,1,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,360,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,35000,5,FL,12095,12095017506,2,12,12,5,12,12,2,4,3,16,24,42,8,17,23,42,2,4,2,5,2,4,55-64,No,9999,No,54,0,0.6538118081180812,3,2,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,180,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,1,2,1,1,125000,1,GA,13069,13069010401,2,12,12,5,12,12,2,4,3,16,24,42,8,17,23,42,2,4,1,5,2,4,65-74,Yes,9999,No,45,0,-0.141,2,1,1,10,10,2,4,3578.6,884.7839158576052,1200,884.4192,6,30%-<36%,92.308,360,66,2,2,2,2,135000,3,5,1,1,1,2,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,95000,1,FL,12097,12097043700,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,1,5,2,4,35-44,No,9999,No,91,0,0.142,2,2,2,10,10,2,4,2013.143201970443,1185.45,442.7375609756098,884.4192,7.25,38,39.173,180,66,2,2,2,2,535000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,65000,1,FL,12095,12095017111,2,12,12,2,12,12,2,2,3,16,24,42,3,17,23,42,2,2,1,1,2,2,45-54,No,>74,Yes,150,0,2.06,2,2,2,9,10,2,4,665,884.7839158576052,0,1000,7.75,42,45.311,180,66,2,2,2,2,1085000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,45000,1,FL,12127,12127091005,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,1,2,2,2,45-54,No,45-54,No,116,0,-0.118,2,2,9,2,10,2,4,2013.143201970443,632.9,442.7375609756098,884.4192,7,30%-<36%,49.177,180,66,2,2,2,2,295000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,15000,1,FL,12095,12095014400,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,2,5,2,4,55-64,No,9999,No,47,0,0.168,2,2,2,10,10,2,4,2013.143201970443,634.95,442.7375609756098,884.4192,7,30%-<36%,49.631,180,66,2,2,2,2,305000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,65000,5,FL,12117,12117021307,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,2,1,2,2,45-54,No,45-54,No,237,0,0.6538118081180812,3,2,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,180,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,25000,1,FL,12095,12095017811,1,14,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,1,5,2,4,45-54,No,9999,No,91,0,0.536,2,2,2,10,10,2,4,634.95,884.7839158576052,0,878.45,5.5,39,60.441,120,66,2,2,2,2,505000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,155000,3,FL,12097,12097042800,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,2,5,2,4,35-44,No,9999,No,65,0,0.6538118081180812,3,2,2,10,1,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,46.701,180,66,2,2,2,2,455000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,25000,5,FL,12097,12097043209,14,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,1,5,2,4,35-44,No,9999,No,65,0,0.6538118081180812,3,2,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,180,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,95000,1,FL,12117,12117021403,3,12,12,5,12,12,2,4,6,16,24,42,8,17,23,42,2,4,1,5,2,4,45-54,No,9999,No,77,0,1.36,2,2,2,10,10,2,4,2013.143201970443,625.45,442.7375609756098,884.4192,8.5,30%-<36%,40.604,180,66,2,2,2,2,335000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,75000,4,FL,12117,12117021401,2,12,12,5,12,12,1,4,5,16,24,42,8,17,23,42,1,4,1,5,1,4,65-74,Yes,9999,No,89,0,0.6538118081180812,3,2,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,180,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,65000,4,FL,12095,12095015006,1,11,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,1,5,2,4,35-44,No,9999,No,105,0,0.6538118081180812,3,2,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,120,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,85000,3,FL,12069,12069030916,2,12,12,5,12,12,2,4,3,16,24,42,8,17,23,42,2,4,2,5,2,4,45-54,No,9999,No,185,0,0.6538118081180812,3,2,2,10,1,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,50%-60%,45.18,180,66,2,2,2,2,835000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,405000,1,FL,12095,12095015702,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,1,2,2,2,55-64,No,55-64,No,223,0,0.309,2,1,2,9,10,2,4,2013.143201970443,3533.05,442.7375609756098,884.4192,7.5,30%-<36%,60.606,180,66,2,2,2,2,665000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,35000,4,FL,12117,12117021206,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,1,5,2,4,65-74,Yes,9999,No,115,0,0.6538118081180812,3,2,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,180,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,55000,1,FL,12117,12117022007,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,1,2,2,2,45-54,No,45-54,No,155,0,2.128,2,2,1,9,10,2,4,632.9,884.7839158576052,0,932.15,7.625,20%-<30%,57.998,180,66,2,2,2,2,425000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,55000,1,FL,12095,12095017301,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,2,5,2,4,>74,Yes,9999,No,32,0,0.481,2,1,2,10,10,2,4,2013.143201970443,962.2,442.7375609756098,884.4192,7.5,30%-<36%,9.191,180,66,2,2,2,2,545000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,45000,1,FL,12117,12117020301,2,12,12,2,12,12,2,2,5,16,24,42,2,21,23,42,2,2,1,2,2,2,35-44,No,25-34,No,62,0,-0.088,2,2,2,9,10,2,4,2013.143201970443,642.9,442.7375609756098,884.4192,7,20%-<30%,41.294,180,66,2,2,2,2,215000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,1,2,1,1,655000,1,FL,12117,12117020707,3,12,12,3,12,12,2,2,6,16,24,42,6,17,23,42,2,2,3,3,2,2,25-34,No,25-34,No,324,0,-2.839,2,1,2,9,10,2,4,9537.95,884.7839158576052,2917.5,884.4192,6.375,30%-<36%,86.755,360,60,2,2,2,2,755000,3,5,1,1,1,2,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,105000,1,FL,12095,12095016716,1,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,2,5,2,4,35-44,No,9999,No,63,0,0.317,2,1,2,10,10,2,4,2013.143201970443,634.95,442.7375609756098,884.4192,7.5,39,13.986,180,66,2,2,2,2,715000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,55000,1,FL,12069,12069031309,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,2,1,2,2,35-44,No,35-44,No,120,0,2.082,2,2,9,2,10,2,4,632.9,884.7839158576052,0,919.9,7.75,38,49.831,180,66,2,2,2,2,405000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,65000,1,FL,12095,12095015006,2,12,12,2,12,12,2,2,5,16,24,42,5,17,23,42,2,2,2,1,2,2,55-64,No,45-54,No,108,0,0.6538118081180812,2,2,2,9,10,2,4,2013.143201970443,632.9,442.7375609756098,884.4192,7,39,39.743,180,66,2,2,2,2,355000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,35000,1,FL,12069,12069031321,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,2,5,2,4,35-44,No,9999,No,86,0,2.171,2,2,2,10,10,2,4,625.45,884.7839158576052,0,853,7.75,30%-<36%,61.332,180,66,2,2,2,2,365000,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,3,45000,5,FL,12095,12095015801,2,12,12,5,12,12,2,4,3,16,24,42,8,17,23,42,2,4,1,5,2,4,55-64,Yes,9999,No,37,0,0.6538118081180812,3,1,9,9,10,2,4,2013.143201970443,884.7839158576052,442.7375609756098,884.4192,7.621841155234657,>60%,60.21228129952457,240,66,2,2,2,2,412294.30379746837,3,5,1,1,1,6,2,2,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,55000,1,FL,12095,12095014301,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,1,5,2,4,45-54,No,9999,No,96,0,1.385,2,2,2,10,10,2,4,2013.143201970443,625.45,442.7375609756098,884.4192,8.5,42,56.57,180,66,2,2,2,2,525000,3,5,1,1,1,6,2,1,2
2023,5493001ZUNE2DKEA4702,1,32,2,1,1,85000,1,FL,12095,12095017701,2,12,12,5,12,12,2,4,5,16,24,42,8,17,23,42,2,4,1,5,2,4,35-44,No,9999,No,47,0,-0.159,2,1,1,10,10,2,4,3048.95,884.7839158576052,1248.95,884.4192,6,41,27.586,360,66,2,2,2,2,295000,3,5,1,1,1,2,2,2,2
